run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
apache_spark_20041192690,apache_spark,20041192690,2,2,17977,8988.5,1,1,0,0,0,0,0
apache_spark_20049029380,apache_spark,20049029380,2,2,17989,8994.5,2,2,0,0,0,0,0
apache_spark_20055056514,apache_spark,20055056514,2,2,9014295,4507147.5,408,395,1,12,0,0,0
apache_spark_20055335374,apache_spark,20055335374,2,2,17990,8995.0,2,2,0,0,0,0,0
apache_spark_20058334134,apache_spark,20058334134,2,2,123485,61742.5,5,5,0,0,0,0,0
apache_spark_20062891351,apache_spark,20062891351,22,22,6572814,298764.2727272727,231,215,16,0,0,0,0
apache_spark_20068214856,apache_spark,20068214856,22,22,6514669,296121.3181818182,254,254,0,0,0,0,0
apache_spark_20071988110,apache_spark,20071988110,2,2,7982,3991.0,0,0,0,0,0,0,0
apache_spark_20080929438,apache_spark,20080929438,16,16,4401483,275092.6875,204,188,16,0,0,0,0
apache_spark_20083193450,apache_spark,20083193450,2,2,726933,363466.5,48,48,0,0,0,0,0
apache_spark_20086347134,apache_spark,20086347134,38,38,47990029,1262895.5,2860,2165,565,127,0,0,3
apache_spark_20090394765,apache_spark,20090394765,2,2,9026592,4513296.0,425,412,1,12,0,0,0
apache_spark_20091813634,apache_spark,20091813634,2,2,7981,3990.5,0,0,0,0,0,0,0
apache_spark_20098039699,apache_spark,20098039699,22,22,6577660,298984.54545454547,238,222,16,0,0,0,0
apache_spark_20103265064,apache_spark,20103265064,22,22,6520948,296406.7272727273,287,287,0,0,0,0,0
apache_spark_20103329863,apache_spark,20103329863,2,2,685214,342607.0,27,27,0,0,0,0,0
apache_spark_20110083091,apache_spark,20110083091,2,2,17988,8994.0,0,0,0,0,0,0,0
apache_spark_20110097373,apache_spark,20110097373,22,22,8143973,370180.5909090909,305,289,16,0,0,0,0
apache_spark_20110132106,apache_spark,20110132106,2,2,9028,4514.0,1,1,0,0,0,0,0
apache_spark_20112812297,apache_spark,20112812297,2,2,7986,3993.0,0,0,0,0,0,0,0
apache_spark_20113663573,apache_spark,20113663573,2,2,40383,20191.5,6,6,0,0,0,0,0
apache_spark_20116592849,apache_spark,20116592849,2,2,7992,3996.0,0,0,0,0,0,0,0
apache_spark_20116717362,apache_spark,20116717362,2,2,18055,9027.5,2,2,0,0,0,0,0
apache_spark_20117164290,apache_spark,20117164290,38,38,48355421,1272511.0789473683,3020,2259,630,128,0,0,3
apache_spark_20117175235,apache_spark,20117175235,16,16,5451038,340689.875,271,252,18,1,0,0,0
apache_spark_20117220811,apache_spark,20117220811,38,38,45058681,1185754.7631578948,2849,2146,594,106,0,0,3
apache_spark_20118183489,apache_spark,20118183489,38,38,48323818,1271679.4210526317,3001,2254,618,126,0,0,3
apache_spark_20119716604,apache_spark,20119716604,38,38,45433583,1195620.605263158,2764,2074,580,107,0,0,3
apache_spark_20121252938,apache_spark,20121252938,2,2,11605264,5802632.0,727,585,118,21,0,0,3
apache_spark_20121332602,apache_spark,20121332602,2,2,19870,9935.0,0,0,0,0,0,0,0
